Species	Common name	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession / source	Intact	Partially intact	Uncertain loss	Lost	Missing	ref_human	ref_mouse
Cricetulus griseus	Chinese hamster	10029	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Cricetinae; Cricetulus	HLcriGri3	GCF_003668045.1	 17,126 	 114 	 557 	 514 	 119 	 18,343 	 21,177 
Crocuta crocuta	spotted hyena	9678	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Hyaenidae; Crocuta	HLcroCro2	DNA Zoo Consortium	 15,263 	 1,886 	 452 	 375 	 454 	 18,149 	 17,837 
Crocuta crocuta	spotted hyena	9678	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Hyaenidae; Crocuta	HLcroCro1	GCA_008692635.1	 14,749 	 1,119 	 1,688 	 501 	 373 	 18,120 	 18,230 
Cryptoprocta ferox	fossa	94188	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Eupleridae; Euplerinae; Cryptoprocta	HLcryFer2	DNA Zoo Consortium	 16,384 	 972 	 412 	 472 	 190 	 18,342 	 18,193 
Ctenodactylus gundi	northern gundi	10166	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Ctenodactylidae; Ctenodactylus	HLcteGun1	GCA_004027205.1	 16,559 	 462 	 463 	 728 	 218 	 17,967 	 18,303 
Ctenomys sociabilis	social tuco-tuco	43321	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Ctenomyidae; Ctenomys	HLcteSoc1	GCA_004027165.1	 15,011 	 1,612 	 555 	 625 	 627 	 17,626 	 17,331 
Cynomys gunnisoni	Gunnison's prairie dog	45479	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Cynomys	HLcynGun1	GCA_011316645.1	 17,214 	 447 	 490 	 220 	 59 	 18,799 	 19,772 
Cynopterus brachyotis	lesser short-nosed fruit bat	58060	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Cynopterus	HLcynBra1	GCA_009793145.1	 9,601 	 5,042 	 493 	 774 	 2,520 	 15,568 	 15,290 
Damaliscus lunatus	topi	9929	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Alcelaphinae; Damaliscus	HLdamLun1	GCA_006408505.1	 15,691 	 1,536 	 595 	 339 	 269 	 18,414 	 18,534 
Dasyprocta punctata	punctate agouti	34846	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Dasyproctidae; Dasyprocta	HLdasPun1	GCA_004363535.1	 13,920 	 2,785 	 559 	 517 	 649 	 17,784 	 18,136 
Dasypus novemcinctus	nine-banded armadillo	9361	Mammalia; Theria; Eutheria; Xenarthra; Cingulata; Dasypodidae; Dasypus	dasNov3	GCF_000208655.1	 12,648 	 3,256 	 1,408 	 323 	 795 	 17,663 	 17,525 
Daubentonia madagascariensis	aye-aye	31869	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Chiromyiformes; Daubentoniidae; Daubentonia	HLdauMad1	GCA_004027145.1	 17,404 	 470 	 290 	 200 	 66 	 18,863 	 19,375 
Delphinapterus leucas	beluga whale	9749	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Monodontidae; Delphinapterus	HLdelLeu3	DNA Zoo Consortium	 16,185 	 291 	 768 	 1,008 	 178 	 17,723 	 17,523 
Delphinapterus leucas	beluga whale	9749	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Monodontidae; Delphinapterus	HLdelLeu2	GCF_002288925.2	 16,330 	 225 	 729 	 1,037 	 109 	 17,762 	 17,519 
Dicerorhinus sumatrensis sumatrensis	Sumatran rhinoceros	310712	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Dicerorhinus; Dicerorhinus sumatrensis	HLdicSum1	GCA_002844835.1	 16,969 	 648 	 486 	 215 	 112 	 18,786 	 19,403 
Diceros bicornis	black rhinoceros	9805	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Diceros	HLdicBic1	GCA_004027315.2	 17,238 	 480 	 406 	 220 	 86 	 18,779 	 19,373 
Didelphis virginiana	North American opossum	9267	Mammalia; Theria; Metatheria; Didelphimorphia; Didelphidae; Didelphinae; Didelphis	HLdidVir1	DNA Zoo Consortium	 9,940 	 2,299 	 683 	 778 	 4,730 	 13,130 	 10,481 
Dinomys branickii	pacarana	108858	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Dinomyidae; Dinomys	HLdinBra1	GCA_004027595.1	 16,166 	 899 	 553 	 508 	 304 	 18,130 	 18,476 
Dipodomys ordii	Ord's kangaroo rat	10020	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Heteromyidae; Dipodomyinae; Dipodomys	dipOrd2	GCF_000151885.1	 13,332 	 2,826 	 733 	 647 	 892 	 17,361 	 17,942 
Dipodomys stephensi	Stephens's kangaroo rat	323379	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Heteromyidae; Dipodomyinae; Dipodomys	HLdipSte1	GCA_004024685.1	 14,386 	 1,864 	 504 	 718 	 958 	 17,175 	 17,057 
Dolichotis patagonum	Patagonian cavy	29091	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Caviidae; Dolichotis	HLdolPat1	GCA_004027295.1	 14,637 	 2,012 	 581 	 602 	 598 	 17,710 	 17,665 
Dugong dugon	dugong	29137	Mammalia; Theria; Eutheria; Afrotheria; Sirenia; Dugongidae; Dugong	HLdugDug1	GCA_015147995.1	 14,850 	 2,067 	 677 	 451 	 385 	 18,052 	 17,269 
Echinops telfairi	small Madagascar hedgehog	9371	Mammalia; Theria; Eutheria; Afrotheria; Tenrecidae; Tenrecinae; Echinops	echTel2	GCF_000313985.1	 12,761 	 3,496 	 512 	 621 	 1,040 	 17,116 	 16,548 
Eidolon dupreanum	Malagasy straw-colored fruit bat	58063	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Eidolon	HLeidDup1	DNA Zoo Consortium	 14,674 	 1,834 	 567 	 776 	 579 	 17,559 	 17,243 
Eidolon helvum	straw-colored fruit bat	77214	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Eidolon	HLeidHel2	DNAZoo	 9,151 	 4,513 	 1,634 	 924 	 2,208 	 15,742 	 14,945 
Elaphurus davidianus	Pere David's deer	43332	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Elaphurus	HLelaDav1	GCA_002443075.1	 16,050 	 1,133 	 558 	 336 	 353 	 18,337 	 18,536 
Elephantulus edwardii	Cape elephant shrew	28737	Mammalia; Theria; Eutheria; Afrotheria; Macroscelidea; Macroscelididae; Elephantulus	eleEdw1	GCF_000299155.1	 15,350 	 1,259 	 548 	 516 	 757 	 17,523 	 16,962 
Elephas maximus	Asiatic elephant	9783	Mammalia; Theria; Eutheria; Afrotheria; Proboscidea; Elephantidae; Elephas	HLeleMax1	DNA Zoo Consortium	 15,844 	 1,598 	 472 	 324 	 192 	 18,406 	 18,478 
Ellobius lutescens	Transcaucasian mole vole	39086	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Ellobius	HLellLut1	GCA_001685075.1	 9,839 	 3,970 	 1,690 	 869 	 2,062 	 15,873 	 18,119 
Ellobius talpinus	Northern mole vole	329620	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Ellobius	HLellTal1	GCA_001685095.1	 11,287 	 3,634 	 791 	 696 	 2,022 	 16,072 	 18,614 
Enhydra lutris kenyoni	sea otter	391180	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Enhydra; Enhydra lutris	enhLutKen1	GCF_002288905.1	 17,176 	 175 	 624 	 400 	 55 	 18,565 	 18,804 
Enhydra lutris nereis	sea otter	1049777	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Enhydra; Enhydra lutris	enhLutNer1	GCA_006410715.1	 15,128 	 1,988 	 517 	 455 	 342 	 18,200 	 18,019 
Eonycteris spelaea	lesser dawn bat	58065	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Macroglossinae; Eonycteris	HLeonSpe1	GCA_003508835.1	 7,709 	 93 	 7,672 	 2,871 	 85 	 15,930 	 15,987 
Eptesicus fuscus	big brown bat	29078	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Eptesicus	eptFus1	GCF_000308155.1	 14,711 	 1,967 	 401 	 690 	 661 	 17,549 	 17,440 
Eptesicus fuscus	big brown bat	29078	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Eptesicus	HLeptFus2	DNA Zoo Consortium	 14,723 	 1,940 	 403 	 528 	 836 	 17,535 	 17,407 
Equus asinus	ass	9793	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Asinus	HLequAsi1	GCF_001305755.1	 15,724 	 1,425 	 597 	 228 	 456 	 18,407 	 18,952 
Equus asinus asinus	ass	83772	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Asinus; Equus asinus	HLequAsiAsi2	GCA_003033725.1	 16,456 	 734 	 843 	 252 	 145 	 18,695 	 19,200 
Equus burchellii boehmi	-	89250	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Hippotigris; Equus burchellii	HLequQuaBoe1	DNA Zoo Consortium	 15,890 	 1,579 	 383 	 318 	 260 	 18,495 	 18,674 
Equus burchellii quagga	quagga	89252	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Hippotigris; Equus burchellii	HLequQua1	DNA Zoo Consortium	 15,889 	 1,566 	 391 	 132 	 452 	 18,483 	 18,706 
Equus caballus	horse	9796	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Equus	equCab3	GCF_002863925.1	 17,813 	 95 	 363 	 138 	 21 	 18,960 	 19,431 
Equus przewalskii	Przewalski's horse	9798	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Equus	equPrz1	GCF_000696695.1	 12,887 	 2,897 	 1,257 	 299 	 1,090 	 17,670 	 18,014 
Equus zebra	mountain zebra	9791	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Hippotigris	HLequZeb1	DNA Zoo Consortium	 17,053 	 612 	 365 	 222 	 178 	 18,676 	 18,980 
Erethizon dorsatum	North American porcupine	34844	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Erethizontidae; Erethizon	HLereDor2	DNA Zoo Consortium	 16,816 	 412 	 598 	 442 	 162 	 18,395 	 18,918 
Erethizon dorsatum	North American porcupine	34844	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Erethizontidae; Erethizon	HLereDor1	GCA_006547115.1	 16,879 	 390 	 593 	 457 	 111 	 18,426 	 19,201 
Erignathus barbatus	bearded seal	39304	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Erignathus	HLeriBar1	DNA Zoo Consortium	 15,254 	 1,840 	 507 	 525 	 304 	 18,175 	 17,918 
Erinaceus europaeus	western European hedgehog	9365	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Eulipotyphla; Erinaceidae; Erinaceinae; Erinaceus	eriEur2	GCF_000296755.1	 14,151 	 1,876 	 499 	 632 	 1,272 	 16,912 	 16,270 
Erythrocebus patas	red guenon	9538	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Erythrocebus	HLeryPat1	GCA_004027335.1	 14,207 	 3,137 	 447 	 273 	 366 	 18,653 	 18,000 
Eschrichtius robustus	grey whale	9764	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Eschrichtiidae; Eschrichtius	HLescRob1	GCA_004363415.1	 15,906 	 854 	 648 	 737 	 285 	 17,945 	 17,729 
Eschrichtius robustus	grey whale	9764	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Eschrichtiidae; Eschrichtius	HLescRob2	DNA Zoo Consortium	 15,833 	 984 	 660 	 726 	 227 	 18,008 	 17,819 
Eubalaena australis	Southern right whale	160595	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenidae; Eubalaena	HLeubAus1	DNA Zoo Consortium	 15,603 	 1,109 	 784 	 669 	 265 	 18,040 	 17,837 
Eubalaena glacialis	North Atlantic right whale	27606	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenidae; Eubalaena	HLeubGla1	DNA Zoo Consortium	 15,690 	 1,044 	 690 	 713 	 293 	 17,960 	 17,672 
Eubalaena japonica	North Pacific right whale	302098	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenidae; Eubalaena	HLeubJap1	GCA_004363455.1	 14,982 	 1,638 	 694 	 710 	 406 	 17,842 	 17,490 
Eudorcas thomsonii	Thomson's gazelle	69308	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Eudorcas	HLeudTho1	GCA_006408755.1	 15,899 	 1,097 	 786 	 379 	 269 	 18,373 	 18,370 
Eulemur flavifrons	Sclater's lemur	87288	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur	HLeulFla1	DNA Zoo Consortium	 16,220 	 974 	 500 	 322 	 414 	 18,353 	 18,347 
Eulemur flavifrons	Sclater's lemur	87288	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur	eulFla1	GCA_001262665.1	 16,260 	 981 	 495 	 276 	 418 	 18,402 	 18,619 
Eulemur fulvus	brown lemur	13515	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur	HLeulFul1	GCA_004027275.1	 12,393 	 4,389 	 558 	 420 	 670 	 17,975 	 17,924 
Eulemur macaco	black lemur	30602	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur	eulMac1	GCA_001262655.1	 15,539 	 1,532 	 540 	 257 	 562 	 18,256 	 18,385 
Eulemur mongoz	mongoose lemur	34828	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur	HLeulMon1	DNA Zoo Consortium	 14,320 	 2,707 	 566 	 412 	 425 	 18,234 	 18,176 
Eumetopias jubatus	Steller sea lion	34886	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Otariidae; Eumetopias	HLeumJub1	GCF_004028035.1	 16,991 	 313 	 580 	 453 	 93 	 18,475 	 18,528 
Felis catus	domestic cat	9685	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Felis	felCat9	GCF_000181335.3	 16,792 	 71 	 1,200 	 337 	 30 	 18,660 	 18,786 
Felis nigripes	black-footed cat	61379	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Felis	HLfelNig1	GCA_004023925.1	 10,939 	 4,647 	 565 	 518 	 1,761 	 16,654 	 15,105 
Felis nigripes	black-footed cat	61379	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Felis	HLfelNig2	DNA Zoo Consortium	 15,449 	 1,847 	 420 	 370 	 344 	 18,295 	 18,138 
Fukomys damarensis	Damara mole-rat	885580	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Bathyergidae; Fukomys	HLfukDam2	GCF_012274545.1	 13,661 	 2,295 	 751 	 736 	 987 	 17,204 	 17,844 
Galeopterus variegatus	Sunda flying lemur	482537	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Dermoptera; Cynocephalidae; Galeopterus	HLgalVar2	GCA_004027255.2	 16,332 	 1,109 	 428 	 356 	 205 	 18,530 	 18,823 
Giraffa camelopardalis	giraffe	9894	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Giraffidae; Giraffa	HLgirCam2	DNA Zoo Consortium	 15,686 	 1,462 	 656 	 358 	 268 	 18,381 	 18,256 
Giraffa camelopardalis	giraffe	9894	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Giraffidae; Giraffa	HLgirCam1	GCA_006408565.1	 14,648 	 1,612 	 1,241 	 412 	 517 	 18,088 	 18,156 
Giraffa tippelskirchi	-	439328	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Giraffidae; Giraffa	HLgirTip1	GCA_001651235.1	 15,724 	 1,411 	 652 	 371 	 272 	 18,348 	 18,129 
Glis glis	Fat dormouse	41261	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Gliridae; Glirinae; Glis	HLgliGli1	GCA_004027185.1	 14,258 	 2,718 	 425 	 372 	 657 	 17,976 	 18,155 
Globicephala melas	long-finned pilot whale	9731	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Globicephala	HLgloMel2	DNA Zoo Consortium	 16,286 	 221 	 706 	 1,045 	 172 	 17,710 	 17,487 
Globicephala melas	long-finned pilot whale	9731	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Globicephala	HLgloMel1	GCF_006547405.1	 16,292 	 227 	 698 	 1,080 	 133 	 17,711 	 17,503 
Gorilla gorilla gorilla	western lowland gorilla	9595	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Gorilla; Gorilla gorilla	gorGor6	GCF_008122165.1	 17,403 	 220 	 264 	 165 	 378 	 18,846 	 18,865 
Gracilinanus agilis	Agile Gracile Mouse Opossum	191870	Mammalia; Theria; Metatheria; Didelphimorphia; Didelphidae; Didelphinae; Gracilinanus	HLgraAgi1	GCA_016433145.1	 10,925 	 1,724 	 676 	 928 	 4,177 	 13,540 	 10,936 
Grammomys surdaster	-	491861	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Grammomys	HLgraSur1	GCF_004785775.1	 16,592 	 484 	 441 	 522 	 391 	 18,007 	 21,194 
Grampus griseus	Risso's dolphin	83653	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Grampus	HLgraGri1	DNA Zoo Consortium	 14,726 	 1,585 	 683 	 1,014 	 422 	 17,465 	 17,270 
Graphiurus murinus	woodland dormouse	51346	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Gliridae; Graphiurinae; Graphiurus	HLgraMur1	GCA_004027655.1	 12,821 	 3,368 	 589 	 503 	 1,149 	 17,328 	 17,264 
Gulo gulo	wolverine	48420	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Martinae; Gulo	HLgulGul1	GCA_900006375.2	 11,588 	 4,281 	 564 	 486 	 1,511 	 16,940 	 16,462 
Gymnobelideus leadbeateri	Leadbeater's possum	38618	Mammalia; Theria; Metatheria; Diprotodontia; Petauridae; Gymnobelideus	HLgymLea1	GCA_011680675.1	 11,617 	 498 	 765 	 1,287 	 4,263 	 13,067 	 9,594 
Gymnobelideus leadbeateri	Leadbeater's possum	38618	Mammalia; Theria; Metatheria; Diprotodontia; Petauridae; Gymnobelideus	HLgymLea2	DNA Zoo Consortium	 13,332 	 345 	 742 	 1,382 	 2,629 	 14,681 	 12,301 
Halichoerus grypus	gray seal	9711	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Halichoerus	HLhalGry1	GCA_012393455.1	 16,152 	 505 	 1,305 	 357 	 111 	 18,576 	 18,738 
Helarctos malayanus	Malayan sun bear	9634	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Ursidae; Helarctos	HLhelMal1	DNA Zoo Consortium	 15,829 	 1,511 	 357 	 359 	 374 	 18,277 	 18,171 
Helogale parvula	dwarf mongoose	210647	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Herpestidae; Helogale	HLhelPar1	GCA_004023845.1	 15,973 	 1,175 	 442 	 391 	 449 	 18,122 	 18,058 
Hemitragus hylocrius	Nilgiri tahr	330464	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Hemitragus	HLhemHyl1	GCA_004026825.1	 16,202 	 1,149 	 432 	 346 	 301 	 18,337 	 18,054 
Heterocephalus glaber	naked mole-rat	10181	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Bathyergidae; Heterocephalus	HLhetGla3	DNA Zoo Consortium	 16,137 	 594 	 765 	 610 	 324 	 17,993 	 18,307 
Heterocephalus glaber	naked mole-rat	10181	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Bathyergidae; Heterocephalus	hetGla2	GCF_000247695.1	 16,205 	 591 	 750 	 666 	 218 	 18,048 	 18,574 
Heterohyrax brucei	yellow-spotted hyrax	77598	Mammalia; Theria; Eutheria; Afrotheria; Hyracoidea; Procaviidae; Heterohyrax	HLhetBru1	GCA_004026845.1	 15,205 	 1,650 	 522 	 470 	 583 	 17,792 	 17,143 
Hippopotamus amphibius	hippopotamus	9833	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Ancodonta; Hippopotamidae; Hippopotamus	HLhipAmp1	GCA_002995585.1	 12,528 	 3,100 	 1,563 	 462 	 777 	 17,787 	 17,626 
Hippopotamus amphibius	hippopotamus	9833	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Ancodonta; Hippopotamidae; Hippopotamus	HLhipAmp3	GCA_004027065.2	 16,912 	 705 	 382 	 296 	 135 	 18,611 	 18,969 
Hipposideros armiger	great roundleaf bat	186990	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Hipposideridae; Hipposideros	HLhipArm1	GCF_001890085.1	 14,059 	 2,435 	 820 	 556 	 560 	 17,816 	 17,790 
Hipposideros galeritus	Cantor's roundleaf bat	58069	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Hipposideridae; Hipposideros	HLhipGal1	GCA_004027415.1	 14,354 	 2,475 	 535 	 573 	 493 	 17,869 	 17,473 
Hippotragus equinus	roan antelope	37186	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Hippotraginae; Hippotragus	HLhipEqu1	GCA_016433095.1	 16,978 	 413 	 467 	 396 	 176 	 18,440 	 18,488 
Hippotragus niger niger	sable antelope	82127	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Hippotraginae; Hippotragus; Hippotragus niger	HLhipNigNig2	DNA Zoo Consortium	 16,267 	 1,002 	 416 	 293 	 452 	 18,272 	 18,283 
Hippotragus niger niger	sable antelope	82127	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Hippotraginae; Hippotragus; Hippotragus niger	HLhipNig1	GCA_006942125.1	 16,308 	 1,008 	 400 	 350 	 364 	 18,295 	 18,489 
Hyaena hyaena	striped hyena	95912	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Hyaenidae; Hyaena	HLhyaHya1	GCA_003009895.1	 17,389 	 214 	 510 	 261 	 56 	 18,706 	 18,894 
Hydrochoerus hydrochaeris	capybara	10149	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Hydrochaeridae; Hydrochoerus	HLhydHyd2	DNA Zoo Consortium	 15,977 	 840 	 652 	 595 	 366 	 17,953 	 18,201 
Hydrochoerus hydrochaeris	capybara	10149	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Hydrochaeridae; Hydrochoerus	HLhydHyd1	GCA_004027455.1	 16,377 	 570 	 629 	 573 	 281 	 18,082 	 18,516 
Hydrodamalis gigas	Steller's sea cow	63631	Mammalia; Theria; Eutheria; Afrotheria; Sirenia; Dugongidae; Hydrodamalis	HLhydGig1	GCA_013391785.1	 1,964 	 3,353 	 888 	 1,429 	 10,796 	 6,399 	 4,078 
Hydropotes inermis	Chinese water deer	9883	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Hydropotinae; Hydropotes	HLhydIne1	GCA_006459105.1	 16,639 	 663 	 487 	 349 	 292 	 18,340 	 18,545 
