Species	Common name	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession / source	ref_chicken
Manacus vitellinus	golden-collared manakin	328815	Aves; Neognathae; Passeriformes; Pipridae; Manacus	HLmanVit1	GCA_001715985.3	 13,571 
Melanerpes aurifrons	Golden-fronted woodpecker	371916	Aves; Neognathae; Piciformes; Picidae; Melanerpes	HLmelAur1	GCA_011125475.1	 15,595 
Melanocharis versteri	Fan-tailed berrypecker	254552	Aves; Neognathae; Passeriformes; Passeroidea; Melanocharitidae; Melanocharis	HLmelVer1	GCA_013397845.1	 13,896 
Melopsittacus undulatus	budgerigar	13146	Aves; Neognathae; Psittaciformes; Psittaculidae; Melopsittacus	HLmelUnd2	GCA_012275295.1	 15,408 
Merops nubicus	carmine bee-eater	57421	Aves; Neognathae; Coraciiformes; Meropidae; Merops	HLmerNub1	GCA_009819595.1	 15,131 
Mesitornis unicolor	brown roatelo	54374	Aves; Neognathae; Gruiformes; Mesitornithidae; Mesitornis	mesUni1	GCA_000695765.1	 12,666 
Mionectes macconnelli	McConnell's flycatcher	254557	Aves; Neognathae; Passeriformes; Tyrannidae; Mionectes	HLmioMac1	GCA_013397495.1	 14,191 
Mixornis gularis	Striped tit-babbler	1948886	Aves; Neognathae; Passeriformes; Sylvioidea; Timaliidae; Mixornis	HLmixGul1	GCA_003546035.1	 13,879 
Molothrus ater	-	84834	Aves; Neognathae; Passeriformes; Passeroidea; Icteridae; Molothrus	HLmolAte1	GCA_012460135.1	 15,221 
Motacilla alba	white wagtail	45807	Aves; Neognathae; Passeriformes; Passeroidea; Motacillidae; Motacilla	HLmotAlb1	GCA_013397355.1	 13,605 
Motacilla alba alba	white wagtail	1094192	Aves; Neognathae; Passeriformes; Passeroidea; Motacillidae; Motacilla; Motacilla alba	HLmotAlbAlb2	GCA_015832195.1	 14,706 
Myiagra hebetior	-	381031	Aves; Neognathae; Passeriformes; Corvoidea; Monarchidae; Myiagra	HLmyiHeb1	GCA_013397015.1	 13,803 
Myiopsitta monachus	monk parakeet	176066	Aves; Neognathae; Psittaciformes; Psittacidae; Myiopsitta	HLmyiMon1	GCA_013036005.1	 13,491 
Nannopterum auritus	double-crested cormorant	56069	Aves; Neognathae; Pelecaniformes; Phalacrocoracidae; Nannopterum	HLnanAur1	GCA_002173455.1	 15,419 
Nannopterum harrisi	Galapagos flightless cormorant	473964	Aves; Neognathae; Pelecaniformes; Phalacrocoracidae; Nannopterum	HLnanHar1	GCA_002173475.1	 15,596 
Neopelma chrysocephalum	saffron-crested tyrant-manakin	114329	Aves; Neognathae; Passeriformes; Pipridae; Neopelma	HLneoChr1	GCA_003984885.2	 14,700 
Neopipo cinnamomea	-	456388	Aves; Neognathae; Passeriformes; Tyrannidae; Neopipo	HLneoCin1	GCA_013397415.1	 14,292 
Nesospiza acunhae	-	381881	Aves; Neognathae; Passeriformes; Thraupidae; Nesospiza	HLnesAcu1	GCA_013398715.1	 14,217 
Nestor notabilis	Kea	176057	Aves; Neognathae; Psittaciformes; Psittacidae; Nestor	HLnesNot1	GCA_000696875.1	 12,349 
Nipponia nippon	crested ibis	128390	Aves; Neognathae; Pelecaniformes; Threskiornithidae; Nipponia	nipNip1	GCA_000708225.1	 14,215 
Nothocercus nigrocapillus	-	1977171	Aves; Palaeognathae; Tinamiformes; Tinamidae; Nothocercus	HLnotNig1	GCA_013398345.1	 13,696 
Nothoprocta ornata	-	83376	Aves; Palaeognathae; Tinamiformes; Tinamidae; Nothoprocta	HLnotOrn1	GCA_013398335.1	 13,968 
Nothoprocta pentlandii	-	2585814	Aves; Palaeognathae; Tinamiformes; Tinamidae; Nothoprocta	HLnotPen1	GCA_013398315.1	 13,494 
Nothoprocta perdicaria	-	30464	Aves; Palaeognathae; Tinamiformes; Tinamidae; Nothoprocta	HLnotPer1	GCA_003342845.1	 14,604 
Nycticryphes semicollaris	-	227226	Aves; Neognathae; Charadriiformes; Rostratulidae; Nycticryphes	HLnycSem1	GCA_013400055.1	 14,551 
Oceanites oceanicus	Wilson's storm-petrel	79653	Aves; Neognathae; Procellariiformes; Hydrobatidae; Oceanites	HLoceOce1	GCA_013396615.1	 14,625 
Odontophorus gujanensis	marbled wood quail	886794	Aves; Neognathae; Galloanserae; Galliformes; Odontophoridae; Odontophorus	HLodoGuj1	GCA_013399175.1	 14,764 
Oenanthe oenanthe	Northern wheatear	279966	Aves; Neognathae; Passeriformes; Muscicapidae; Oenanthe	HLoenOen1	GCA_013399995.1	 13,751 
Onychorhynchus coronatus	-	360224	Aves; Neognathae; Passeriformes; Tyrannidae; Onychorhynchus	HLonyCor1	GCA_013397825.1	 14,459 
Oreocharis arfaki	tit berrypecker	979223	Aves; Neognathae; Passeriformes; Passeroidea; Paramythiidae; Oreocharis	HLoreArf1	GCA_013398015.1	 13,598 
Oriolus oriolus	Eurasian golden-oriole	181099	Aves; Neognathae; Passeriformes; Corvoidea; Corvidae; Oriolus	HLoriOri1	GCA_013400235.1	 13,860 
Orthonyx spaldingii	northern chowchilla	38397	Aves; Neognathae; Passeriformes; Corvoidea; Orthonychidae; Orthonyx	HLortSpa1	GCA_013397795.1	 14,195 
Otus sunia	Oriental scops-owl	257818	Aves; Neognathae; Strigiformes; Strigidae; Otus	HLotuSun1	GCA_010365825.1	 14,566 
Oxyruncus cristatus	sharpbill	114331	Aves; Neognathae; Passeriformes; Cotingidae; Oxyruncus	HLoxyCri1	GCA_013399855.1	 14,008 
Pachyramphus minor	-	369605	Aves; Neognathae; Passeriformes; Tyrannidae; Pachyramphus	HLpacMin1	GCA_013397135.1	 14,180 
Paradisaea raggiana	Raggiana bird of paradise	36268	Aves; Neognathae; Passeriformes; Corvoidea; Paradisaeidae; Paradisaea	HLparRag1	GCA_003713265.1	 14,034 
Paradisaea rubra	red bird of paradise	39963	Aves; Neognathae; Passeriformes; Corvoidea; Paradisaeidae; Paradisaea	HLparRub1	GCA_003713215.1	 14,645 
Paradoxornis webbianus	crow tit	337173	Aves; Neognathae; Passeriformes; Muscicapidae; Paradoxornis	HLparWeb1	GCA_013397395.1	 13,916 
Parotia lawesii	Lawes's parotia	39961	Aves; Neognathae; Passeriformes; Corvoidea; Paradisaeidae; Parotia	HLparLaw1	GCA_003713295.1	 14,693 
Parus major	Great Tit	9157	Aves; Neognathae; Passeriformes; Paridae; Parus	HLparMaj1	GCA_001522545.3	 14,255 
Passer domesticus	House sparrow	48849	Aves; Neognathae; Passeriformes; Passeroidea; Passeridae; Passer	HLpasDom1	GCA_001700915.1	 13,876 
Passer montanus	Eurasian tree sparrow	9160	Aves; Neognathae; Passeriformes; Passeroidea; Passeridae; Passer	HLpasMon1	GCA_014805655.1	 14,869 
Passerina amoena	-	142471	Aves; Neognathae; Passeriformes; Passeroidea; Fringillidae; Emberizinae; Cardinalini; Passerina	HLpasAmo1	GCA_013401095.1	 12,823 
Patagioenas fasciata monilis	band-tailed pigeon	372326	Aves; Neognathae; Columbiformes; Columbidae; Patagioenas; Patagioenas fasciata	HLpatFas1	GCA_002029285.1	 14,451 
Pedionomus torquatus	plains-wanderer	227192	Aves; Neognathae; Charadriiformes; Pedionomidae; Pedionomus	HLpedTor1	GCA_013398155.1	 13,418 
Pelecanus crispus	Dalmatian pelican	36300	Aves; Neognathae; Pelecaniformes; Pelecanidae; Pelecanus	pelCri1	GCA_000687375.1	 12,388 
Penelope pileata	-	1118817	Aves; Neognathae; Galloanserae; Galliformes; Cracidae; Penelope	HLpenPil1	GCA_013396635.1	 15,007 
Phaethon lepturus	White-tailed tropicbird	97097	Aves; Neognathae; Pelecaniformes; Phaethontidae; Phaethon	phaLep1	GCA_000687285.1	 12,283 
Phainopepla nitens	-	161653	Aves; Neognathae; Passeriformes; Bombycillidae; Phainopepla	HLphaNit1	GCA_013400175.1	 13,462 
Phalacrocorax carbo	great cormorant	9209	Aves; Neognathae; Pelecaniformes; Phalacrocoracidae; Phalacrocorax	phaCar1	GCA_000708925.1	 11,734 
Phalacrocorax pelagicus	Pelagic cormorant	2723871	Aves; Neognathae; Pelecaniformes; Phalacrocoracidae; Phalacrocorax	HLuriPel1	GCA_002173435.1	 15,387 
Pheucticus melanocephalus	-	371919	Aves; Neognathae; Passeriformes; Passeroidea; Fringillidae; Emberizinae; Cardinalini; Pheucticus	HLpheMel1	GCA_013398405.1	 12,953 
Phylloscopus trochilus acredula	Willow warbler	209779	Aves; Neognathae; Passeriformes; Sylvioidea; Phylloscopidae; Phylloscopus; Phylloscopus trochilus	HLphyTro1	GCA_002305835.1	 14,437 
Picoides pubescens	Downy woodpecker	118200	Aves; Neognathae; Piciformes; Picidae; Picoides	HLpicPub2	GCA_014839835.1	 15,228 
Pionus senilis	white-capped parrot	30456	Aves; Neognathae; Psittaciformes; Psittacidae; Pionus	HLpioSen1	GCA_011762725.1	 6,384 
Pipra filicauda	Wire-tailed manakin	649802	Aves; Neognathae; Passeriformes; Pipridae; Pipra	HLpipFil1	GCA_003945595.1	 15,266 
Piprites chloris	white-winged piprites	114369	Aves; Neognathae; Passeriformes; Pipridae; Piprites	HLpipChl1	GCA_013399295.1	 14,256 
Ploceus nigricollis	-	441696	Aves; Neognathae; Passeriformes; Passeroidea; Ploceidae; Ploceinae; Ploceus	HLploNig1	GCA_013399945.1	 13,536 
Poecile atricapillus	Black-capped chickadee	48891	Aves; Neognathae; Passeriformes; Paridae; Poecile	HLpoeAtr1	GCA_011421415.1	 14,238 
Polioptila caerulea	-	66707	Aves; Neognathae; Passeriformes; Certhiidae; Polioptilinae; Polioptila	HLpolCae1	GCA_013397295.1	 13,428 
Pomatorhinus ruficollis	streak-breasted scimitar babbler	932028	Aves; Neognathae; Passeriformes; Sylvioidea; Timaliidae; Pomatorhinus	HLpomRuf1	GCA_013401195.1	 12,942 
Prunella himalayana	-	670356	Aves; Neognathae; Passeriformes; Passeroidea; Passeridae; Prunella	HLpruHim1	GCA_013398875.1	 13,914 
Pseudopodoces humilis	Tibetan ground-tit	181119	Aves; Neognathae; Passeriformes; Paridae; Pseudopodoces	pseHum1	GCA_000331425.1	 14,922 
Psilopogon haemacephalus	-	2585815	Aves; Neognathae; Piciformes; Megalaimidae; Psilopogon	HLpsiHae1	GCA_013396835.1	 13,935 
Psittacus erithacus	grey parrot	57247	Aves; Neognathae; Psittaciformes; Psittacidae; Psittacus	HLpsiEri1	GCA_009867235.1	 14,094 
Psittacus timneh	Timneh parrot	1549196	Aves; Neognathae; Psittaciformes; Psittacidae; Psittacus	HLpsiTim1	GCA_009867315.1	 14,126 
Psitteuteles goldiei	-	176074	Aves; Neognathae; Psittaciformes; Psittaculidae; Loriini; Psitteuteles	HLpsiGol1	GCA_010014875.1	 13,329 
Pterocles burchelli	-	2585816	Aves; Neognathae; Ciconiiformes; Pteroclidae; Pterocles	HLpteBur1	GCA_013397535.1	 14,212 
Pteruthius melanotis	-	357074	Aves; Neognathae; Passeriformes; Sylvioidea; Timaliidae; Pteruthius	HLpteMel1	GCA_013401235.1	 14,063 
Ptilonorhynchus violaceus	satin bowerbird	28724	Aves; Neognathae; Passeriformes; Ptilonorhynchidae; Ptilonorhynchus	HLptiVio1	GCA_013397565.1	 13,935 
Ptilorrhoa leucosticta	-	449384	Aves; Neognathae; Passeriformes; Corvoidea; Cinclosomatidae; Ptilorrhoa	HLptiLeu1	GCA_013396485.1	 13,617 
Pycnonotus jocosus	red-whiskered bulbul	182897	Aves; Neognathae; Passeriformes; Sylvioidea; Pycnonotidae; Pycnonotus	HLpycJoc1	GCA_013400435.1	 13,673 
Pygoscelis adeliae	Adelie penguin	9238	Aves; Neognathae; Sphenisciformes; Spheniscidae; Pygoscelis	pygAde1	GCA_000699105.1	 12,982 
Pyrrhura frontalis	maroon-bellied parakeet	211511	Aves; Neognathae; Psittaciformes; Psittacidae; Pyrrhura	HLpyrFro1	GCA_010014865.1	 13,671 
Pyrrhura griseipectus	Gray-breasted parakeet	311890	Aves; Neognathae; Psittaciformes; Psittacidae; Pyrrhura	HLpyrGri1	GCA_010014965.1	 13,699 
Pyrrhura molinae	Green-cheeked parakeet	311895	Aves; Neognathae; Psittaciformes; Psittacidae; Pyrrhura	HLpyrMol1	GCA_011763355.1	 13,650 
Pyrrhura perlata	-	311897	Aves; Neognathae; Psittaciformes; Psittacidae; Pyrrhura	HLpyrPer1	GCA_011763455.1	 13,822 
Regulus satrapa	golden-crowned kinglet	13245	Aves; Neognathae; Passeriformes; Sylvioidea; Sylviidae; unclassified Sylviidae; Regulus	HLregSat1	GCA_013396955.1	 13,227 
Rhabdornis inornatus	-	237438	Aves; Neognathae; Passeriformes; Rhabdornithidae; Rhabdornis	HLrhaIno1	GCA_013397075.1	 14,245 
Rhadina sibilatrix	-	2585818	Aves; Neognathae; Passeriformes; Sylvioidea; Phylloscopidae; Rhadina	HLrhaSib1	GCA_013400275.1	 13,543 
Rhegmatorhina hoffmannsi	white-breasted antbird	468512	Aves; Neognathae; Passeriformes; Thamnophilidae; Rhegmatorhina	HLrheHof1	GCA_013398505.1	 12,779 
Rhinoptilus africanus	double-banded courser	240209	Aves; Neognathae; Charadriiformes; Glareolidae; Rhinoptilus	HLrhiAfr1	GCA_013400135.1	 13,895 
Rhipidura dahli	-	667186	Aves; Neognathae; Passeriformes; Rhipiduridae; Rhipidura	HLrhiDah1	GCA_013399225.1	 14,023 
Rhodinocichla rosea	-	58203	Aves; Neognathae; Passeriformes; Thraupidae; Rhodinocichla	HLrhoRos1	GCA_013396575.1	 14,135 
Rhynochetos jubatus	kagu	54386	Aves; Neognathae; Gruiformes; Rhynochetidae; Rhynochetos	HLrhyJub1	GCA_013398095.1	 13,956 
Rissa tridactyla	black-legged kittiwake	75485	Aves; Neognathae; Charadriiformes; Laridae; Rissa	HLrisTri1	GCA_013401015.1	 14,819 
Rostratula benghalensis	greater painted-snipe	118793	Aves; Neognathae; Charadriiformes; Rostratulidae; Rostratula	HLrosBen1	GCA_013399305.1	 14,587 
Rynchops niger	black skimmer	227184	Aves; Neognathae; Charadriiformes; Laridae; Rynchops	HLrynNig1	GCA_013400035.1	 14,493 
Sakesphorus luctuosus	-	419690	Aves; Neognathae; Passeriformes; Thamnophilidae; Sakesphorus	HLsakLuc1	GCA_013396695.1	 14,277 
Sapayoa aenigma	broad-billed sapayoa	239371	Aves; Neognathae; Passeriformes; Tyrannidae; Sapayoa	HLsapAen1	GCA_013398745.1	 14,264 
Saxicola maurus maurus	Siberian stonechat	1187130	Aves; Neognathae; Passeriformes; Muscicapidae; Saxicola; Saxicola maurus	HLsaxMau1	GCA_900205225.1	 14,167 
Sclerurus mexicanus	tawny-throated leaftosser	265632	Aves; Neognathae; Passeriformes; Furnariidae; Sclerurus	HLsclMex1	GCA_013396755.1	 14,103 
Scytalopus superciliaris	-	312124	Aves; Neognathae; Passeriformes; Rhinocryptidae; Scytalopus	HLscySup1	GCA_013400415.1	 13,881 
Serilophus lunatus	silver-breasted broadbill	239386	Aves; Neognathae; Passeriformes; Eurylaimidae; Serilophus	HLserLun1	GCA_013399895.1	 14,162 
Serinus canaria	Common canary	9135	Aves; Neognathae; Passeriformes; Passeroidea; Fringillidae; Carduelinae; Serinus	HLserCan1	GCA_007115625.1	 14,186 
Setophaga coronata coronata	myrtle warbler	1037456	Aves; Neognathae; Passeriformes; Passeroidea; Parulidae; Setophaga; Setophaga coronata	HLsetCor1	GCA_001746935.1	 13,356 
Setophaga coronata coronata	myrtle warbler	1037456	Aves; Neognathae; Passeriformes; Passeroidea; Parulidae; Setophaga; Setophaga coronata	HLsetCorCor2	GCA_001746935.2	 12,119 
Setophaga kirtlandii	Kirtland's warbler	298831	Aves; Neognathae; Passeriformes; Passeroidea; Parulidae; Setophaga	HLsetKir1	GCA_013399655.1	 13,681 
Sialia sialis	eastern bluebird	172413	Aves; Neognathae; Passeriformes; Turdidae; Sialia	HLsiaSia1	GCA_009812075.1	 13,115 
Sitta europaea	wood nuthatch	50251	Aves; Neognathae; Passeriformes; Sittidae; Sitta	HLsitEur1	GCA_013400255.1	 13,496 
Smithornis capensis	-	363769	Aves; Neognathae; Passeriformes; Eurylaimidae; Smithornis	HLsmiCap1	GCA_013396465.1	 13,973 
Spelaeornis formosus	spotted wren-babbler	1463973	Aves; Neognathae; Passeriformes; Sylvioidea; Timaliidae; Spelaeornis	HLspeFor1	GCA_013398795.1	 13,688 
Spheniscus magellanicus	Magellanic penguin	37081	Aves; Neognathae; Sphenisciformes; Spheniscidae; Spheniscus	HLsphMag1	GCA_010076225.1	 15,324 
Spheniscus mendiculus	Galapagos penguin	156760	Aves; Neognathae; Sphenisciformes; Spheniscidae; Spheniscus	HLsphMen2	GCA_003264655.1	 12,953 
Spheniscus mendiculus	Galapagos penguin	156760	Aves; Neognathae; Sphenisciformes; Spheniscidae; Spheniscus	HLsphMen1	GCA_010077915.1	 14,081 
Spizaetus tyrannus	black hawk-eagle	252798	Aves; Neognathae; Accipitriformes; Accipitridae; Accipitrinae; Spizaetus	HLspiTyr1	GCA_013399215.1	 14,629 
Sporophila hypoxantha	tawny-bellied seedeater	256693	Aves; Neognathae; Passeriformes; Thraupidae; Sporophila	HLspoHyp1	GCA_002167245.1	 13,711 
Stercorarius parasiticus	-	54059	Aves; Neognathae; Charadriiformes; Stercorariidae; Stercorarius	HLstePar1	GCA_013396915.1	 14,445 
Sterrhoptilus dennistouni	-	2585820	Aves; Neognathae; Passeriformes; Sylvioidea; Zosteropidae; Sterrhoptilus	HLsteDen1	GCA_013397095.1	 13,305 
Streptopelia turtur	-	177155	Aves; Neognathae; Columbiformes; Columbidae; Streptopelia	HLstrTur1	GCA_901699155.1	 14,740 
Struthidea cinerea	-	181839	Aves; Neognathae; Passeriformes; Corvoidea; Corcoracidae; Struthidea	HLstrCin1	GCA_013397865.1	 14,047 
Sturnus vulgaris	Common starling	9172	Aves; Neognathae; Passeriformes; Sturnidae; Sturnus	HLstuVul1	GCA_001447265.1	 14,598 
Sylvia borin	garden warbler	73324	Aves; Neognathae; Passeriformes; Sylvioidea; Sylviidae; Sylviinae; Sylvia	HLsylBor1	GCA_014839755.1	 15,237 
Sylvietta virens	Green crombec	208069	Aves; Neognathae; Passeriformes; Sylvioidea; Sylviidae; Acrocephalinae; Sylvietta	HLsylVir1	GCA_013399515.1	 13,819 
Syrmaticus mikado	Mikado pheasant	9065	Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Phasianinae; Syrmaticus	HLsyrMik1	GCA_003435085.1	 16,524 
Tachuris rubrigastra	-	495162	Aves; Neognathae; Passeriformes; Tyrannidae; Tachuris	HLtacRub1	GCA_013396555.1	 14,404 
Taeniopygia guttata	zebra finch	59729	Aves; Neognathae; Passeriformes; Passeroidea; Estrildidae; Estrildinae; Taeniopygia	HLtaeGut4	GCA_003957565.2	 15,074 
Tetrax tetrax	-	172684	Aves; Neognathae; Gruiformes; Otididae; Tetrax	HLtetTet1	GCA_009806455.1	 14,516 
Thinocorus orbignyianus	-	161742	Aves; Neognathae; Ciconiiformes; Thinocoridae; Thinocorus	HLthiOrb1	GCA_013400375.1	 14,323 
Thryothorus ludovicianus	Carolina wren	74200	Aves; Neognathae; Passeriformes; Certhiidae; Troglodytinae; Thryothorus	HLthrLud1	GCA_013397245.1	 13,655 
Toxostoma redivivum	-	99882	Aves; Neognathae; Passeriformes; Mimidae; Toxostoma	HLtoxRed1	GCA_013397375.1	 13,957 
Tricholaema leucomelas	pied barbet	240729	Aves; Neognathae; Piciformes; Lybiidae; Tricholaema	HLtriLeu1	GCA_013400475.1	 14,668 
Turdus rufiventris	rufous-bellied thrush	311356	Aves; Neognathae; Passeriformes; Turdidae; Turdus	HLturRuf1	GCA_013186435.1	 13,845 
Tyrannus savana	Fork-tailed flycatcher	137541	Aves; Neognathae; Passeriformes; Tyrannidae; Tyrannus	HLtyrSav1	GCA_013399735.1	 13,896 
Tyto alba alba	Barn owl	507980	Aves; Neognathae; Strigiformes; Tytonidae; Tyto; Tyto alba	HLtytAlb2	GCA_902150015.1	 14,723 
Uria aalge	common murre	13746	Aves; Neognathae; Charadriiformes; Alcidae; Uria	HLuriAal1	GCA_013401055.1	 14,265 
Uria lomvia	thick-billed guillemot	28711	Aves; Neognathae; Charadriiformes; Alcidae; Uria	HLuriLom1	GCA_002289315.1	 14,765 
Urocynchramus pylzowi	-	571890	Aves; Neognathae; Passeriformes; Passeroidea; Fringillidae; Urocynchramus	HLuroPyl1	GCA_013397555.1	 13,666 
Vidua chalybeata	-	81927	Aves; Neognathae; Passeriformes; Passeroidea; Estrildidae; Viduinae; Vidua	HLvidCha1	GCA_013398495.1	 14,750 
Vireo altiloquus	black-whiskered vireo	34956	Aves; Neognathae; Passeriformes; Corvoidea; Vireonidae; Vireoninae; Vireo	HLvirAlt1	GCA_013396875.1	 14,197 
Zonotrichia albicollis	white-throated sparrow	44394	Aves; Neognathae; Passeriformes; Passerellidae; Zonotrichia	zonAlb1	GCA_000385455.1	 12,806 
Zosterops hypoxanthus	-	2485327	Aves; Neognathae; Passeriformes; Sylvioidea; Zosteropidae; Zosterops	HLzosHyp1	GCA_013399795.1	 13,779 
Zosterops lateralis melanops	silver-eye	1220523	Aves; Neognathae; Passeriformes; Sylvioidea; Zosteropidae; Zosterops; Zosterops lateralis	HLzosLat1	GCA_001281735.1	 13,264 
Zosterops pallidus	pale white-eye	43580	Aves; Neognathae; Passeriformes; Sylvioidea; Zosteropidae; Zosterops	HLzosPal1	GCA_007556475.1	 14,239 

