ensembl	gene_name	entrezgene	protein	busco
ENSG00000276785	PRSS58	136541.0	ENSP00000478535	163378at9347
ENSG00000012504	NR1H4	9971.0	ENSP00000448506	80991at9347
ENSG00000137198	GMPR	2766.0	ENSP00000259727	118026at9347
ENSG00000276615	KEL	3792.0	ENSP00000477793	52402at9347
ENSG00000165275	TRMT10B	158234.0	ENSP00000297994	149137at9347
ENSG00000177663	IL17RA	23765.0	ENSP00000320936	48024at9347
ENSG00000164609	SLU7	10569.0	ENSP00000297151	74398at9347
ENSG00000115593	SMYD1	150572.0	ENSP00000393453	72578at9347
ENSG00000236515	ZBTB9	221504.0	ENSP00000413557	113638at9347
ENSG00000157734	SNX22	79856.0	ENSP00000323435	173069at9347
ENSG00000169908	TM4SF1	4071.0	ENSP00000304277	178918at9347
ENSG00000278220	CLN8	2055.0	ENSP00000482713	146709at9347
ENSG00000169118	CSNK1G1	53944.0	ENSP00000305777	85829at9347
ENSG00000101639	CEP192	55125.0	ENSP00000427550	6500at9347
ENSG00000131269	ABCB7	22.0	ENSP00000362492	44430at9347
ENSG00000182183	SHISAL2A	348378.0	ENSP00000429726	177452at9347
ENSG00000120318	ARAP3	64411.0	ENSP00000421826	13343at9347
ENSG00000069998	HDHD5	27440.0	ENSP00000155674	102526at9347
ENSG00000227460	SYNGAP1	8831.0	ENSP00000414259	17249at9347
ENSG00000067334	DNTTIP2	30836.0	ENSP00000411010	96330at9347
ENSG00000107371	EXOSC3	51010.0	ENSP00000323046	155200at9347
ENSG00000144227	NXPH2	11249.0	ENSP00000272641	157360at9347
ENSG00000240857	RDH14	57665.0	ENSP00000370648	139862at9347
ENSG00000122741	DCAF10	79269.0	ENSP00000242323	88935at9347
ENSG00000128016	ZFP36	7538.0	ENSP00000469647	173856at9347
ENSG00000090924	PLEKHG2	64857.0	ENSP00000392906	25965at9347
ENSG00000186132	C2orf76	130355.0	ENSP00000386302	194555at9347
ENSG00000100211	CBY1	25776.0	ENSP00000216029	197114at9347
ENSG00000164142	FHIP1A	729830.0	ENSP00000413196	27115at9347
ENSG00000089280	FUS	2521.0	ENSP00000254108	181230at9347
ENSG00000168564	CDKN2AIP	55602.0	ENSP00000427108	122060at9347
ENSG00000120616	EPC1	80314.0	ENSP00000318559	41044at9347
ENSG00000116096	SPR	6697.0	ENSP00000234454	166585at9347
ENSG00000179059	ZFP42	132625.0	ENSP00000424662	152706at9347
ENSG00000141504	SAT2	112483.0	ENSP00000269298	178555at9347
ENSG00000151718	WWC2	80014.0	ENSP00000384222	32762at9347
ENSG00000091436	MAP3K20	51776.0	ENSP00000387259	39562at9347
ENSG00000140090	SLC24A4	123041.0	ENSP00000376948	68935at9347
ENSG00000129244	ATP1B2	482.0	ENSP00000250111	123658at9347
ENSG00000118322	ATP10B	23120.0	ENSP00000493802	9614at9347
ENSG00000108947	EFNB3	1949.0	ENSP00000226091	143791at9347
ENSG00000196235	SUPT5H	6829.0	ENSP00000470252	22892at9347
ENSG00000183346	CABCOCO1	219621.0	ENSP00000496918	153780at9347
ENSG00000109079	TNFAIP1	7126.0	ENSP00000226225	130108at9347
ENSG00000261236	BOP1	23246.0	ENSP00000455106	52355at9347
ENSG00000185009	AP3M1	26985.0	ENSP00000347408	90964at9347
ENSG00000164120	HPGD	3248.0	ENSP00000296522	146669at9347
ENSG00000148634	HERC4	26091.0	ENSP00000277817	18739at9347
ENSG00000100567	PSMA3	5684.0	ENSP00000216455	153554at9347
ENSG00000149257	SERPINH1	871.0	ENSP00000434657	109032at9347
ENSG00000004142	POLDIP2	26073.0	ENSP00000475924	110808at9347
ENSG00000106992	AK1	203.0	ENSP00000494600	168994at9347
ENSG00000244045	TMEM199	147007.0	ENSP00000292114	171557at9347
ENSG00000166803	PCLAF	9768.0	ENSP00000300035	196314at9347
ENSG00000103145	HCFC1R1	54985.0	ENSP00000248089	185110at9347
ENSG00000180772	AGTR2	186.0	ENSP00000360973	112248at9347
ENSG00000116133	DHCR24	1718.0	ENSP00000360316	64160at9347
ENSG00000109072	VTN	7448.0	ENSP00000226218	109055at9347
ENSG00000103671	TRIP4	9325.0	ENSP00000261884	60282at9347
ENSG00000257524			ENSP00000496586	135156at9347
ENSG00000121858	TNFSF10	8743.0	ENSP00000241261	148712at9347
ENSG00000168538	TRAPPC11	60684.0	ENSP00000335371	15068at9347
ENSG00000181938	GINS3	64785.0	ENSP00000401018	163495at9347
ENSG00000022567	SLC45A4	57210.0	ENSP00000429059	46906at9347
ENSG00000136840	ST6GALNAC4	27090.0	ENSP00000336733	139747at9347
ENSG00000197879	MYO1C	4641.0	ENSP00000496799	20585at9347
ENSG00000103227	LMF1	64788.0	ENSP00000262301	74386at9347
ENSG00000198142	SOWAHC	65124.0	ENSP00000365830	155762at9347
ENSG00000105887	MTPN	136319.0	ENSP00000376800	190808at9347
ENSG00000032219	ARID4A	5926.0	ENSP00000344556	31772at9347
ENSG00000071051	NCK2	8440.0	ENSP00000233154	114034at9347
ENSG00000165120	SSMEM1	136263.0	ENSP00000297819	177376at9347
ENSG00000167103	PIP5KL1	138429.0	ENSP00000373399	94999at9347
ENSG00000185231	MC2R	4158.0	ENSP00000333821	151084at9347
ENSG00000164603	BMT2	154743.0	ENSP00000297145	114565at9347
ENSG00000157856	DRC1	92749.0	ENSP00000288710	68835at9347
ENSG00000172680	MOS	4342.0	ENSP00000310722	123750at9347
ENSG00000171502	COL24A1	255631.0	ENSP00000359603	22366at9347
ENSG00000181690	PLAG1	5324.0	ENSP00000325546	87749at9347
ENSG00000160963	COL26A1	136227.0	ENSP00000318234	159364at9347
ENSG00000136908	DPM2	8818.0	ENSP00000322181	203201at9347
ENSG00000105197	TIMM50	92609.0	ENSP00000445806	137156at9347
ENSG00000079101	CLUL1	27098.0	ENSP00000510271	115601at9347
ENSG00000170791	CHCHD7	79145.0	ENSP00000306425	199142at9347
ENSG00000167106	EEIG1	399665.0	ENSP00000362187	134916at9347
ENSG00000071073	MGAT4A	11320.0	ENSP00000264968	66008at9347
ENSG00000159387	IRX6	79190.0	ENSP00000290552	137197at9347
ENSG00000159459	UBR1	197131.0	ENSP00000290650	5289at9347
ENSG00000067836	ROGDI	79641.0	ENSP00000322832	143409at9347
ENSG00000133124	IRS4	8471.0	ENSP00000361202	44982at9347
ENSG00000184232	OAF	220323.0	ENSP00000332613	157598at9347
ENSG00000158122	PRXL2C	195827.0	ENSP00000398933	173798at9347
ENSG00000137709	POU2F3	25833.0	ENSP00000260264	124546at9347
ENSG00000174145	NWD2	57495.0	ENSP00000309501	5357at9347
ENSG00000123575	FAM199X	139231.0	ENSP00000417581	141617at9347
ENSG00000141655	TNFRSF11A	8792.0	ENSP00000465500	69669at9347
ENSG00000185149	NPY2R	4887.0	ENSP00000332591	112432at9347
ENSG00000090932	DLL3	10683.0	ENSP00000348810	71408at9347
ENSG00000173889	PHC3	80012.0	ENSP00000420294	50369at9347
ENSG00000111837	MAK	4117.0	ENSP00000313021	58032at9347
ENSG00000146842	TMEM209	84928.0	ENSP00000380747	81642at9347
ENSG00000135426	TESPA1	9840.0	ENSP00000400892	90914at9347
ENSG00000141664	ZCCHC2	54877.0	ENSP00000269499	26155at9347
ENSG00000119421	NDUFA8	4702.0	ENSP00000362873	179223at9347
ENSG00000137842	TMEM62	80021.0	ENSP00000260403	56556at9347
ENSG00000182013	PNMA8A	55228.0	ENSP00000410273	133111at9347
ENSG00000116157	GPX7	2882.0	ENSP00000354677	177878at9347
ENSG00000155666	KDM8	79831.0	ENSP00000286096	100237at9347
ENSG00000119446	RBM18	92400.0	ENSP00000409315	170681at9347
ENSG00000143036	SLC44A3	126969.0	ENSP00000389143	98801at9347
ENSG00000113580	NR3C1	2908.0	ENSP00000377977	40904at9347
ENSG00000148187	MRRF	92399.0	ENSP00000343867	163761at9347
ENSG00000122121	XPNPEP2	7512.0	ENSP00000360147	46138at9347
ENSG00000119950	MXI1	4601.0	ENSP00000331152	184372at9347
ENSG00000132623	ANKEF1	63926.0	ENSP00000367644	45545at9347
ENSG00000140623	SEPTIN12	124404.0	ENSP00000268231	124711at9347
ENSG00000100578	KIAA0586	9786.0	ENSP00000346359	11701at9347
ENSG00000124827	GCM2	9247.0	ENSP00000368805	71698at9347
ENSG00000122122	SASH3	54440.0	ENSP00000349359	133839at9347
ENSG00000166946	CCNDBP1	23582.0	ENSP00000300213	132825at9347
ENSG00000168071	CCDC88B	283234.0	ENSP00000349238	46771at9347
ENSG00000115641	FHL2	2274.0	ENSP00000386892	122720at9347
ENSG00000146457	WTAP	9589.0	ENSP00000351141	135173at9347
ENSG00000078061	ARAF	369.0	ENSP00000366244	57422at9347
ENSG00000149635	OCSTAMP	128506.0	ENSP00000279028	116773at9347
ENSG00000158296	SLC13A3	64849.0	ENSP00000290317	74696at9347
ENSG00000101938	CHRDL1	91851.0	ENSP00000361115	79172at9347
ENSG00000160013	PTGIR	5739.0	ENSP00000291294	110395at9347
ENSG00000155719	OTOA	146183.0	ENSP00000496564	18604at9347
ENSG00000170448	NFXL1	152518.0	ENSP00000333113	29805at9347
ENSG00000132376	INPP5K	51763.0	ENSP00000413937	101482at9347
ENSG00000155893	PXYLP1	92370.0	ENSP00000286353	83197at9347
ENSG00000120437	ACAT2	39.0	ENSP00000356015	103699at9347
ENSG00000049130	KITLG	4254.0	ENSP00000495951	164216at9347
ENSG00000100227	POLDIP3	84271.0	ENSP00000252115	108252at9347
ENSG00000107186	MPDZ	8777.0	ENSP00000320006	4930at9347
ENSG00000077274	CAPN6	827.0	ENSP00000317214	44621at9347
ENSG00000205744	DENND1C	79958.0	ENSP00000370889	57012at9347
ENSG00000139218	SCAF11	9169.0	ENSP00000358374	17046at9347
ENSG00000102359	SRPX2	27286.0	ENSP00000362095	78097at9347
ENSG00000146918	NCAPG2	54892.0	ENSP00000348657	16085at9347
ENSG00000065243	PKN2	5586.0	ENSP00000359552	26121at9347
ENSG00000101892	ATP1B4	23439.0	ENSP00000218008	118708at9347
ENSG00000241973	PI4KA	5297.0	ENSP00000255882	3575at9347
ENSG00000101180	HRH3	11255.0	ENSP00000342560	127050at9347
ENSG00000168917	SLC35G2	80723.0	ENSP00000400839	97885at9347
ENSG00000075420	FNDC3B	64778.0	ENSP00000411242	14133at9347
ENSG00000088179	PTPN4	5775.0	ENSP00000263708	23349at9347
ENSG00000159495	TGM7	116179.0	ENSP00000389466	43049at9347
ENSG00000136040	PLXNC1	10154.0	ENSP00000258526	8615at9347
ENSG00000168806	LCMT2	9836.0	ENSP00000307214	58033at9347
ENSG00000166947	EPB42	2038.0	ENSP00000396616	54220at9347
ENSG00000112110	MRPL18	29074.0	ENSP00000356001	173367at9347
ENSG00000146453	PNLDC1	154197.0	ENSP00000476448	70042at9347
ENSG00000117528	ABCD3	5825.0	ENSP00000359233	49260at9347
ENSG00000179981	TSHZ1	10194.0	ENSP00000323584	28576at9347
ENSG00000132386	SERPINF1	5176.0	ENSP00000254722	103290at9347
ENSG00000163293	NIPAL1	152519.0	ENSP00000295461	138362at9347
ENSG00000165338	HECTD2	143279.0	ENSP00000298068	47744at9347
ENSG00000125991	ERGIC3	51614.0	ENSP00000341358	103964at9347
ENSG00000144028	SNRNP200	23020.0	ENSP00000317123	3390at9347
ENSG00000141644	MBD1	4152.0	ENSP00000372407	85928at9347
ENSG00000125726	CD70	970.0	ENSP00000245903	172761at9347
ENSG00000128045	RASL11B	65997.0	ENSP00000248706	173106at9347
ENSG00000111046	MYF6	4618.0	ENSP00000228641	171625at9347
ENSG00000104093	DMXL2	23312.0	ENSP00000251076	1475at9347
ENSG00000111142	METAP2	10988.0	ENSP00000325312	90704at9347
ENSG00000125733	TRIP10	9322.0	ENSP00000320493	78166at9347
ENSG00000124713	GNMT	107080644.0	ENSP00000361894	106945at9347
ENSG00000186532	SMYD4	114826.0	ENSP00000304360	42475at9347
ENSG00000164113	ADAD1	132612.0	ENSP00000296513	63472at9347
ENSG00000124587	PEX6	5190.0	ENSP00000303511	42028at9347
ENSG00000068831	RASGRP2	10235.0	ENSP00000366714	60037at9347
ENSG00000100351	GRAP2	9402.0	ENSP00000339186	131945at9347
ENSG00000132383	RPA1	6117.0	ENSP00000254719	61633at9347
ENSG00000172339	ALG14	199857.0	ENSP00000359224	173299at9347
ENSG00000036549	ZZZ3	26009.0	ENSP00000359837	29099at9347
ENSG00000235568	NFAM1	150372.0	ENSP00000333680	172524at9347
ENSG00000152779	SLC16A12	387700.0	ENSP00000360855	80698at9347
ENSG00000187689	AMTN	401138.0	ENSP00000341013	183634at9347
ENSG00000283761			ENSP00000491405	128732at9347
ENSG00000170627	GTSF1	121355.0	ENSP00000446918	173536at9347
ENSG00000168209	DDIT4	54541.0	ENSP00000506356	168547at9347
ENSG00000189433	GJB4	127534.0	ENSP00000345868	164235at9347
ENSG00000179178	TMEM125	128218.0	ENSP00000429775	199236at9347
ENSG00000132464	ENAM	10117.0	ENSP00000379383	21152at9347
ENSG00000142700	DMRTA2	63950.0	ENSP00000399370	149799at9347
ENSG00000145715	RASA1	5921.0	ENSP00000274376	26412at9347
ENSG00000136738	STAM	8027.0	ENSP00000366746	89768at9347
ENSG00000127124	HIVEP3	59269.0	ENSP00000494598	5468at9347
ENSG00000061987	MON2	23041.0	ENSP00000493462	6595at9347
ENSG00000135697	BCO1	53630.0	ENSP00000258168	62368at9347
ENSG00000132467	UTP3	57050.0	ENSP00000254803	148043at9347
ENSG00000018189	RUFY3	22902.0	ENSP00000399771	56468at9347
ENSG00000136718	IMP4	92856.0	ENSP00000259239	143416at9347
ENSG00000137936	BCAR3	8412.0	ENSP00000359267	35284at9347
ENSG00000100226	GTPBP1	9567.0	ENSP00000216044	60757at9347
ENSG00000121067	SPOP	8405.0	ENSP00000425905	108641at9347
ENSG00000090857	PDPR	128966601.0	ENSP00000288050	28474at9347
ENSG00000148483	TMEM236	653567.0	ENSP00000366715	140083at9347
ENSG00000107937	GTPBP4	23560.0	ENSP00000354040	59919at9347
ENSG00000149451	ADAM33	80332.0	ENSP00000369190	38270at9347
ENSG00000144962	SPATA16	83893.0	ENSP00000341765	75339at9347
ENSG00000125731	SH2D3A	10045.0	ENSP00000245908	96589at9347
ENSG00000064393	HIPK2	28996.0	ENSP00000385571	18501at9347
ENSG00000100325	ASCC2	84164.0	ENSP00000305502	46280at9347
ENSG00000176209	SMIM19	114926.0	ENSP00000391549	195087at9347
ENSG00000125735	TNFSF14	8740.0	ENSP00000502837	166042at9347
ENSG00000143032	BARHL2	343472.0	ENSP00000359474	130396at9347
ENSG00000104112	SCG3	29106.0	ENSP00000220478	100452at9347
ENSG00000168702	LRP1B	53353.0	ENSP00000374135	246at9347
ENSG00000125755	SYMPK	8189.0	ENSP00000245934	14076at9347
ENSG00000104447	TRPS1	7227.0	ENSP00000379065	12023at9347
ENSG00000124733	MEA1	4201.0	ENSP00000496447	185039at9347
ENSG00000186329	TMEM212	389177.0	ENSP00000334072	175324at9347
ENSG00000100711	ZFYVE21	79038.0	ENSP00000216602	151017at9347
ENSG00000214253	FIS1	51024.0	ENSP00000223136	191579at9347
ENSG00000163645	ERICH6	131831.0	ENSP00000295910	85688at9347
ENSG00000140280	LYSMD2	256586.0	ENSP00000267838	191603at9347
ENSG00000082515	MRPL22	29093.0	ENSP00000431040	163506at9347
ENSG00000250298	GIMD1	100507096.0	ENSP00000491450	173639at9347
ENSG00000163655	GMPS	8833.0	ENSP00000419851	40291at9347
ENSG00000033800	PIAS1	8554.0	ENSP00000249636	56903at9347
ENSG00000162989	KCNJ3	3760.0	ENSP00000295101	76889at9347
ENSG00000100395	L3MBTL2	83746.0	ENSP00000216237	50007at9347
ENSG00000106025	TSPAN12	23554.0	ENSP00000222747	128203at9347
ENSG00000165730	STOX1	219736.0	ENSP00000298596	40472at9347
ENSG00000144120	TMEM177	80775.0	ENSP00000385966	139349at9347
ENSG00000109163	GNRHR	2798.0	ENSP00000226413	146570at9347
ENSG00000186952	TMEM232	642987.0	ENSP00000401477	79049at9347
ENSG00000157693	TMEM268	203197.0	ENSP00000363161	147224at9347
ENSG00000109471	IL2	3558.0	ENSP00000226730	194969at9347
ENSG00000181634	TNFSF15	9966.0	ENSP00000363157	158198at9347
ENSG00000138698	RAP1GDS1	5910.0	ENSP00000369503	60938at9347
ENSG00000095261	PSMD5	5711.0	ENSP00000210313	79502at9347
ENSG00000100592	DAAM1	23002.0	ENSP00000354162	26704at9347
ENSG00000106278	PTPRZ1	5803.0	ENSP00000499073	4057at9347
ENSG00000163581	SLC2A2	6514.0	ENSP00000323568	79368at9347
ENSG00000164904	ALDH7A1	501.0	ENSP00000490024	68103at9347
ENSG00000119403	PHF19	26147.0	ENSP00000363003	60925at9347
ENSG00000138617	PARP16	54956.0	ENSP00000261888	135312at9347
ENSG00000046647	GEMIN8	54960.0	ENSP00000505429	179012at9347
ENSG00000188641	DPYD	1806.0	ENSP00000359211	20018at9347
ENSG00000168522	FNTA	2339.0	ENSP00000303423	121184at9347
ENSG00000125844	RRBP1	6238.0	ENSP00000367044	71900at9347
ENSG00000242028	HYPK	25764.0	ENSP00000384474	196579at9347
ENSG00000152078	TLCD4	148534.0	ENSP00000359222	162651at9347
ENSG00000121871	SLITRK3	22865.0	ENSP00000420091	29370at9347
ENSG00000157450	RNF111	54778.0	ENSP00000288199	40831at9347
ENSG00000100557	CCDC198	55195.0	ENSP00000216445	162038at9347
ENSG00000171492	LRRC8D	55144.0	ENSP00000338887	29886at9347
ENSG00000170608	FOXA3	3171.0	ENSP00000304004	160518at9347
ENSG00000170604	IRF2BP1	26145.0	ENSP00000307265	76269at9347
ENSG00000169860	P2RY1	5028.0	ENSP00000304767	116556at9347
ENSG00000176182	MYPOP	339344.0	ENSP00000325402	185907at9347
ENSG00000165102	HGSNAT	138050.0	ENSP00000368965	63380at9347
ENSG00000188425	NANOS2	339345.0	ENSP00000341021	194114at9347
ENSG00000104983	CCDC61	729440.0	ENSP00000471454	130213at9347
ENSG00000170989	S1PR1	1901.0	ENSP00000305416	117916at9347
ENSG00000121073	SLC35B1	10237.0	ENSP00000497423	135142at9347
ENSG00000116299	ELAPOR1	57535.0	ENSP00000358955	19543at9347
ENSG00000072135	PTPN18	26469.0	ENSP00000175756	139667at9347
ENSG00000112651	MRPL2	51069.0	ENSP00000373404	155223at9347
ENSG00000119401	TRIM32	22954.0	ENSP00000408292	51311at9347
ENSG00000147869	CER1	9350.0	ENSP00000370297	147079at9347
ENSG00000154310	TNIK	23043.0	ENSP00000399511	15884at9347
ENSG00000185800	DMWD	1762.0	ENSP00000366964	88534at9347
ENSG00000112655	PTK7	5754.0	ENSP00000230419	18713at9347
ENSG00000198876	DCAF12	25853.0	ENSP00000355114	78180at9347
ENSG00000137821	LRRC49	54839.0	ENSP00000439600	50696at9347
ENSG00000121104	FAM117A	81558.0	ENSP00000240364	116094at9347
ENSG00000068971	PPP2R5B	5526.0	ENSP00000164133	99100at9347
ENSG00000163626	COX18	285521.0	ENSP00000295890	142011at9347
ENSG00000081320	STK17B	9262.0	ENSP00000263955	109116at9347
ENSG00000164946	FREM1	158326.0	ENSP00000370262	3675at9347
ENSG00000101049	SGK2	10110.0	ENSP00000362192	114208at9347
ENSG00000172399	MYOZ2	51778.0	ENSP00000306997	160459at9347
ENSG00000168070	MAJIN	283129.0	ENSP00000434568	158808at9347
ENSG00000168062	BATF2	116071.0	ENSP00000301887	175887at9347
ENSG00000152127	MGAT5	4249.0	ENSP00000386377	35811at9347
ENSG00000064195	DLX3	1747.0	ENSP00000389870	154500at9347
ENSG00000100036	SLC35E4	339665.0	ENSP00000339626	160836at9347
ENSG00000148334	PTGES2	80142.0	ENSP00000345341	132010at9347
ENSG00000185900	POMK	84197.0	ENSP00000502774	120975at9347
ENSG00000108179	PPIF	10105.0	ENSP00000225174	178336at9347
ENSG00000141577	CEP131	22994.0	ENSP00000363914	47510at9347
ENSG00000185339	TCN2	6948.0	ENSP00000394184	109676at9347
ENSG00000165424	ZCCHC24	219654.0	ENSP00000361411	155606at9347
ENSG00000171219	CDC42BPG	55561.0	ENSP00000345133	14517at9347
ENSG00000188674	C2orf80	389073.0	ENSP00000343171	182101at9347
ENSG00000165792	METTL17	64745.0	ENSP00000343041	94100at9347
ENSG00000129292	PHF20L1	51105.0	ENSP00000378784	27352at9347
ENSG00000157353	FCSK	197258.0	ENSP00000288078	20070at9347
ENSG00000149474	KAT14	57325.0	ENSP00000503109	43913at9347
ENSG00000183072	NKX2-5	1482.0	ENSP00000327758	178112at9347
ENSG00000137962	ARHGAP29	105378858.0	ENSP00000449764	15175at9347
ENSG00000118579	MED28	80306.0	ENSP00000237380	182546at9347
ENSG00000171522	PTGER4	5734.0	ENSP00000302846	106044at9347
ENSG00000116120	FARSB	10056.0	ENSP00000281828	57443at9347
ENSG00000047662	FAM184B	27146.0	ENSP00000265018	57278at9347
ENSG00000157800	SLC37A3	84255.0	ENSP00000397481	77872at9347
ENSG00000183111	ARHGEF37	389337.0	ENSP00000328083	57715at9347
ENSG00000127452	FBXL12	54850.0	ENSP00000247977	122112at9347
ENSG00000181704	YIPF6	286451.0	ENSP00000417573	159394at9347
ENSG00000013503	POLR3B	55703.0	ENSP00000228347	13989at9347
ENSG00000198887	SMC5	23137.0	ENSP00000354957	22227at9347
ENSG00000109805	NCAPG	64151.0	ENSP00000251496	27289at9347
ENSG00000150540	HNMT	3176.0	ENSP00000386940	125673at9347
ENSG00000024422	EHD2	30846.0	ENSP00000263277	67075at9347
ENSG00000166948	TGM6	343641.0	ENSP00000202625	50527at9347
ENSG00000105373	NOP53	29997.0	ENSP00000246802	120042at9347
ENSG00000187957	DNER	92737.0	ENSP00000345229	47943at9347
ENSG00000184845	DRD1	1812.0	ENSP00000377353	92761at9347
ENSG00000175520	UBQLN3	50613.0	ENSP00000347997	64678at9347
ENSG00000079739	PGM1	5236.0	ENSP00000360125	60793at9347
ENSG00000136960	ENPP2	5168.0	ENSP00000259486	25496at9347
ENSG00000166819	PLIN1	5346.0	ENSP00000300055	100481at9347
ENSG00000128285	MCHR1	2847.0	ENSP00000249016	121919at9347
ENSG00000175518	UBQLNL	143630.0	ENSP00000369531	69656at9347
ENSG00000151014	NOCT	25819.0	ENSP00000280614	101427at9347
ENSG00000171992	SYNPO	11346.0	ENSP00000377789	46449at9347
ENSG00000062650	WAPL	23063.0	ENSP00000298767	18680at9347
ENSG00000120725	SIL1	64374.0	ENSP00000378294	96535at9347
ENSG00000198612	COPS8	10920.0	ENSP00000346340	163635at9347
ENSG00000117154	IGSF21	84966.0	ENSP00000251296	83326at9347
ENSG00000166821	PEX11A	8800.0	ENSP00000300056	169227at9347
ENSG00000189091	SF3B3	23450.0	ENSP00000305790	12231at9347
ENSG00000100385	IL2RB	3560.0	ENSP00000514009	87764at9347
ENSG00000162377	COA7	65260.0	ENSP00000360593	153678at9347
ENSG00000165029	ABCA1	19.0	ENSP00000363868	2826at9347
ENSG00000170471	RALGAPB	57148.0	ENSP00000380235	8979at9347
ENSG00000116774	OLFML3	56944.0	ENSP00000322273	105254at9347
ENSG00000184979	USP18	11274.0	ENSP00000215794	117979at9347
ENSG00000023909	GCLM	2730.0	ENSP00000359258	146312at9347
ENSG00000133937	GSC	145258.0	ENSP00000238558	178678at9347
ENSG00000071553	ATP6AP1	537.0	ENSP00000358777	102329at9347
ENSG00000168970	JMJD7-PLA2G4B	8681.0	ENSP00000371886	43930at9347
ENSG00000163950	SLBP	7884.0	ENSP00000417686	164564at9347
ENSG00000157637	SLC38A10	124565.0	ENSP00000363891	71901at9347
ENSG00000112658	SRF	6722.0	ENSP00000265354	123636at9347
ENSG00000069702	TGFBR3	7049.0	ENSP00000359426	32583at9347
ENSG00000129473	BCL2L2	599.0	ENSP00000503012	179048at9347
ENSG00000175183	CSRP2	1466.0	ENSP00000310901	154254at9347
ENSG00000112659	CUL9	23113.0	ENSP00000361730	3433at9347
ENSG00000165409	TSHR	7253.0	ENSP00000441235	40895at9347
ENSG00000163075	CFAP221	200373.0	ENSP00000393222	37802at9347
ENSG00000165376	CLDN2	9075.0	ENSP00000441283	167104at9347
ENSG00000100099	HPS4	89781.0	ENSP00000381213	58839at9347
ENSG00000090861	AARS1	16.0	ENSP00000502797	22146at9347
ENSG00000013561	RNF14	9604.0	ENSP00000378028	83189at9347
ENSG00000106034	CPED1	79974.0	ENSP00000309772	22935at9347
ENSG00000123360	PDE1B	5153.0	ENSP00000243052	71608at9347
ENSG00000102385	DRP2	1821.0	ENSP00000385038	24897at9347
ENSG00000185504	FAAP100	80233.0	ENSP00000333283	52231at9347
ENSG00000059573	ALDH18A1	5832.0	ENSP00000360268	35224at9347
ENSG00000240505	TNFRSF13B	23495.0	ENSP00000463582	152962at9347
ENSG00000198198	SZT2	23334.0	ENSP00000489255	1159at9347
ENSG00000091428	RAPGEF4	11069.0	ENSP00000380271	26649at9347
ENSG00000112667	DNPH1	10591.0	ENSP00000230431	196966at9347
ENSG00000137440	FGFBP1	9982.0	ENSP00000371770	187825at9347
ENSG00000179598	PLD6	201164.0	ENSP00000317177	180641at9347
ENSG00000174989	FBXW8	26259.0	ENSP00000498999	74747at9347
ENSG00000154803	FLCN	201163.0	ENSP00000285071	66941at9347
ENSG00000165417	GTF2A1	2957.0	ENSP00000452454	168288at9347
ENSG00000039319	ZFYVE16	9765.0	ENSP00000337159	14194at9347
ENSG00000007062	PROM1	8842.0	ENSP00000415481	48019at9347
ENSG00000105053	VRK3	51231.0	ENSP00000324636	105766at9347
ENSG00000101438	SLC32A1	140679.0	ENSP00000217420	76353at9347
ENSG00000101442	ACTR5	79913.0	ENSP00000243903	73671at9347
ENSG00000130856	ZNF236	7776.0	ENSP00000322361	5568at9347
ENSG00000260230	FRRS1L	23732.0	ENSP00000477141	154757at9347
ENSG00000141030	COPS3	8533.0	ENSP00000268717	96921at9347
ENSG00000096872	IFT74	80173.0	ENSP00000389224	80060at9347
ENSG00000197771	MCMBP	79892.0	ENSP00000353098	58653at9347
ENSG00000149646	CNBD2	140894.0	ENSP00000363084	60725at9347
ENSG00000254656	RTL1	388015.0	ENSP00000497482	18494at9347
ENSG00000112599	GUCA1B	2979.0	ENSP00000230361	172227at9347
ENSG00000134001	EIF2S1	1965.0	ENSP00000256383	145190at9347
ENSG00000048544	MRPS10	55173.0	ENSP00000053468	177486at9347
ENSG00000136026	CKAP4	10970.0	ENSP00000367265	130451at9347
ENSG00000112297	CRYBG1	202.0	ENSP00000488010	7491at9347
ENSG00000102189	EEA1	8411.0	ENSP00000317955	22183at9347
ENSG00000106615	RHEB	6009.0	ENSP00000262187	176813at9347
ENSG00000138135	CH25H	9023.0	ENSP00000360918	140831at9347
ENSG00000100558	PLEK2	26499.0	ENSP00000216446	107051at9347
ENSG00000107798	LIPA	3988.0	ENSP00000360903	101935at9347
ENSG00000214814	FER1L6	654463.0	ENSP00000428280	5435at9347
ENSG00000130347	RTN4IP1	84816.0	ENSP00000358059	100638at9347
ENSG00000116793	PHTF1	10745.0	ENSP00000358611	43559at9347
ENSG00000156127	BATF	10538.0	ENSP00000286639	198786at9347
ENSG00000261787	TCF24	100129654.0	ENSP00000455444	192079at9347
ENSG00000130348	QRSL1	55278.0	ENSP00000358042	74779at9347
ENSG00000119686	FLVCR2	55640.0	ENSP00000238667	77916at9347
ENSG00000121022	COPS5	10987.0	ENSP00000350512	109948at9347
ENSG00000125675	GRIA3	2892.0	ENSP00000478489	28923at9347
ENSG00000175893	ZDHHC21	340481.0	ENSP00000370303	143601at9347
ENSG00000103855	CD276	80381.0	ENSP00000441087	142027at9347
ENSG00000111785	RIC8B	55188.0	ENSP00000376582	78383at9347
ENSG00000174038	C9orf131	138724.0	ENSP00000346472	38789at9347
ENSG00000119977	TCTN3	26123.0	ENSP00000506398	75023at9347
